#IEA,South Korea,,,,,,,,,,
#Balance,Coal,Crude oil,Oil products,Natural gas,Nuclear,Hydro,Wind solar etc.,Biofuels and waste,Electricity,Heat,Total
Unit,ktoe,ktoe,ktoe,ktoe,ktoe,ktoe,ktoe,ktoe,ktoe,ktoe,ktoe
Production,785,658,,169,42930,185,757,5852,,64,51400
Imports,81129,142111,37602,38944,,,,10,,,299795
Exports,,-346,-62428,,,,,,,,-62774
International marine bunkers,,,-9430,,,,,,,,-9430
International aviation bunkers,,,-4407,,,,,,,,-4407
Stock changes,-1077,-1426,347,234,,,,16,,,-1905
TES,80837,140997,-38315,39347,42930,185,757,5878,,64,272679
Transfers,,-3029,3111,,,,,,,,82
Statistical differences,646,188,1835,398,,,,-26,42,-354,2727
Electricity plants,-49416,,-2134,-13799,-42930,-185,-594,-648,42983,-33,-66755
CHP plants,-6947,,-1987,-5327,,,,-242,4227,4312,-5965
Heat plants,,,-117,-46,,,,-474,,520,-118
Gas works,,,-88,,,,,,,,-88
Oil refineries,,-147910,144507,,,,,,,,-3403
Coal transformation,-11186,,,,,,,,,,-11186
Liquefication plants,,,,,,,,,,,
Other transformation,,9755,-9395,,,,,,,,360
Energy industry own use,-3126,-1,-7114,-68,,,,,-3116,-85,-13510
Losses,,,,,,,,,-1546,-60,-1605
Total final consumption,10807,,90303,20504,,,164,4488,42589,4364,173218
Industry,9600,,3424,7413,,,5,2512,22560,2571,48085
Transport,,,32086,1164,,,,418,191,,33858
Residential,655,,3034,8171,,,34,106,5486,1550,19037
Commercial and public services,,,2354,3752,,,102,1386,13094,243,20931
Agriculture / forestry,,,465,3,,,22,65,1001,,1557
Fishing,,,823,,,,,,258,,1081
Non-specified,,,1341,,,,,,,,1341
Non-energy use,552,,46776,,,,,,,,47328
,,,,,,,,,,,
#Electricity,Electricity,Heat,,,,,,,,,
Unit,GWh,TJ,,,,,,,,,
Coal,236586,74320,,,,,,,,,
Oil,12518,32992,,,,,,,,,
Natural gas,122856,72780,,,,,,,,,
Biofuels,2487,4229,,,,,,,,,
Waste,663,17970,,,,,,,,,
Nuclear,164762,,,,,,,,,,
Hydro,5796,,,,,,,,,,
Geothermal,,,,,,,,,,,
Solar PV,3975,,,,,,,,,,
Solar thermal,,,,,,,,,,,
Wind,1342,,,,,,,,,,
Tide,496,,,,,,,,,,
Other sources,1216,2667,,,,,,,,,
Municipal Waste,491,12847,,,,,,,,,
Waste (renewable),196,5139,,,,,,,,,
Total production,552697,204958,,,,,,,,,
Imports,,,,,,,,,,,
Exports,,,,,,,,,,,
Domestic supply,552697,204958,,,,,,,,,
Statistical differences,484,-14837,,,,,,,,,
Transformation,,1364,,,,,,,,,
Electricity plants,,1364,,,,,,,,,
Heat plants,,,,,,,,,,,
Energy industry own use,39891,3550,,,,,,,,,
Losses,17979,2492,,,,,,,,,
Final consumption,495311,182715,,,,,,,,,
Industry,262369,107644,,,,,,,,,
Transport,2217,,,,,,,,,,
Residential,63802,64884,,,,,,,,,
Commercial and public services,152278,10187,,,,,,,,,
Agriculture / forestry,11646,,,,,,,,,,
Fishing,2999,,,,,,,,,,
Other non-specified,,,,,,,,,,,
